Address,ARSON, ASSAULT, BAD CHECKS, BRIBERY, BURGLARY, DISORDERLY CONDUCT, DRIVING UNDER THE INFLUENCE, DRUG/NARCOTIC, DRUNKENNESS, EMBEZZLEMENT, EXTORTION, FAMILY OFFENSES, FORGERY/COUNTERFEITING, FRAUD, GAMBLING, KIDNAPPING, LARCENY/THEFT, LIQUOR LAWS, LOITERING, MISSING PERSON, NON-CRIMINAL, OTHER OFFENSES, PORNOGRAPHY/OBSCENE MAT, PROSTITUTION, RECOVERED VEHICLE, ROBBERY, RUNAWAY, SECONDARY CODES, SEX OFFENSES FORCIBLE, SEX OFFENSES NON FORCIBLE, STOLEN PROPERTY, SUICIDE, SUSPICIOUS OCC, TREA, TRESPASS, VANDALISM, VEHICLE THEFT, WARRANTS, WEAPON LAWS
OAK ST / LAGUNA ST,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0
VANNESS AV / GREENWICH ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1500 Block of LOMBARD ST,0,8,0,0,19,0,0,5,0,0,0,0,2,1,0,1,55,0,0,5,9,11,0,11,0,2,0,3,1,0,0,0,4,0,3,6,5,3,0
100 Block of BRODERICK ST,0,2,1,0,9,0,0,0,0,0,0,0,0,1,0,0,9,0,0,2,5,5,0,0,0,2,0,0,1,0,0,0,3,0,0,5,5,0,1
0 Block of TEDDY AV,0,9,0,0,2,0,0,2,0,0,0,0,2,1,0,2,11,0,0,0,6,7,0,0,2,1,0,1,0,0,0,1,2,0,2,4,10,1,1
AVALON AV / PERU AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRKWOOD AV / DONAHUE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
600 Block of 47TH AV,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
JEFFERSON ST / LEAVENWORTH ST,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,0
0 Block of ESCOLTA WY,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TURK ST / JONES ST,0,37,0,0,1,0,3,169,0,0,0,1,4,6,0,0,25,2,0,3,35,136,0,0,0,21,0,1,1,0,5,0,13,0,0,9,9,57,9
FILLMORE ST / GEARY BL,0,20,0,1,0,0,0,1,3,0,0,0,1,9,0,0,111,1,0,3,47,16,0,0,0,9,0,2,1,0,0,0,4,0,0,8,5,2,2
200 Block of WILLIAMS AV,0,39,0,0,2,0,2,6,4,0,1,0,4,7,0,8,27,0,0,21,254,68,0,1,1,5,0,15,1,0,1,1,56,0,2,18,20,35,8
0 Block of MENDELL ST,0,2,0,0,11,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,3,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
EDDY ST / JONES ST,0,23,0,0,0,0,1,48,1,0,0,0,1,0,0,1,18,1,0,2,37,93,0,0,0,6,0,2,2,0,0,0,5,0,0,3,0,29,2
GODEUS ST / MISSION ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MENDELL ST / HUDSON AV,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,1
100 Block of JONES ST,0,65,0,0,10,1,0,222,1,0,0,2,0,9,0,2,30,2,0,9,80,120,0,0,3,14,0,3,4,0,1,0,16,0,6,12,5,60,9
200 Block of EVELYN WY,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1600 Block of VALENCIA ST,0,17,0,0,6,0,0,1,0,0,0,0,1,4,0,0,16,0,0,0,11,11,0,0,1,8,0,1,0,0,0,0,4,0,0,7,16,4,2
FILLMORE ST / LOMBARD ST,0,12,0,0,0,0,1,0,1,0,0,0,1,2,0,0,13,0,0,1,9,10,0,0,0,6,0,0,0,0,0,0,2,0,0,6,0,3,0
300 Block of OFARRELL ST,0,59,0,0,25,3,2,23,14,12,0,0,9,36,0,3,152,3,2,16,161,62,0,3,5,8,0,10,8,0,6,1,28,0,42,10,145,34,4
2000 Block of BUSH ST,0,2,0,0,7,0,0,0,1,0,0,1,0,2,0,0,14,0,0,3,2,4,0,0,0,1,0,0,0,1,1,0,1,0,1,3,8,1,1
500 Block of COLLEGE AV,1,2,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
19TH AV / SANTIAGO ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,7,0,0,0,0,0,2,0,0,0,0,1,0,0,3,3,0,0
2000 Block of 41ST AV,0,2,0,0,4,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
1300 Block of WEBSTER ST,0,80,0,0,45,2,0,13,3,1,0,0,25,19,0,2,471,0,0,4,66,64,0,0,7,40,0,5,0,0,5,0,14,0,10,28,22,65,3
400 Block of CASTRO ST,1,147,1,0,20,11,1,46,29,3,0,1,16,32,0,1,212,5,0,13,199,94,0,0,0,41,0,5,5,0,10,1,37,0,14,28,22,73,9
1500 Block of FILLMORE ST,0,25,5,0,18,1,1,0,3,0,0,0,36,11,0,0,56,0,0,0,36,13,0,1,1,10,0,1,0,0,3,0,14,0,3,14,0,8,0
1600 Block of WEBSTER ST,0,11,0,0,9,0,0,1,0,0,0,0,0,0,0,0,7,0,0,2,2,5,0,0,0,0,1,2,0,0,0,0,2,0,0,8,2,1,3
KING ST / 3RD ST,0,7,0,0,0,0,0,1,1,0,0,0,0,1,0,0,14,0,0,0,12,13,0,0,0,1,0,0,0,0,0,0,1,0,0,3,4,2,1
VALLEJO ST / BUCHANAN ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CALIFORNIA ST / BUCHANAN ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0
1400 Block of HOLLOWAY AV,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,1
0 Block of WINDING WY,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0
700 Block of MARKET ST,1,122,1,0,114,3,1,42,3,6,0,0,55,43,0,2,862,3,7,22,182,183,0,3,1,80,0,8,7,0,17,0,67,0,37,30,9,159,10
1600 Block of MARKET ST,0,64,0,0,24,2,1,10,5,0,0,0,2,9,0,1,88,2,0,10,70,49,0,0,0,9,0,5,1,0,0,0,9,0,0,26,8,18,2
0 Block of STOCKTON ST,0,38,0,0,51,5,0,33,0,2,0,1,12,13,1,0,410,0,0,4,31,68,0,0,0,11,0,3,2,0,3,0,17,0,31,20,1,41,1
300 Block of WILLIAMS AV,0,42,1,0,8,1,0,9,0,0,0,0,8,5,0,1,124,0,0,5,42,32,0,0,1,14,0,4,0,0,1,0,8,0,2,11,9,19,9
